variant,alpha,ndcg10,ndcg1,ndcg3,ndcg5,ndcg30,ndcg50,ndcg100
V1_PASSAGE_SELECTION,0.0,0.581789193606207,0.6069182389937108,0.6315001535196871,0.6127231080628212,0.5157182401688561,0.46337441293608456,0.37935116511385936
V1_PASSAGE_SELECTION,0.1,0.582924713653126,0.6069182389937108,0.6315001535196871,0.6138107385357608,0.518619013013305,0.4646912335766033,0.3799628987020518
V1_PASSAGE_SELECTION,0.2,0.5814892117018539,0.6069182389937108,0.6300244342554646,0.6161384333769113,0.5209718222063249,0.46585932023379145,0.3804545531216615
V1_PASSAGE_SELECTION,0.3,0.5843967604913933,0.6069182389937108,0.6300244342554646,0.6149006496267948,0.5240865161122434,0.467664585769706,0.3810206256683984
V1_PASSAGE_SELECTION,0.4,0.5866759050325462,0.6069182389937108,0.6300244342554646,0.6153680481277497,0.525891970762838,0.46889906687186755,0.38162875963856246
V1_PASSAGE_SELECTION,0.5,0.5874694914663228,0.6069182389937108,0.6300244342554646,0.616286716994685,0.5270535701498077,0.4698020179324128,0.3821408258274536
V1_PASSAGE_SELECTION,0.6,0.5892268625717693,0.6069182389937108,0.6284235010052219,0.6170316324234768,0.528246312878989,0.4710328138466512,0.38260397830357223
V1_PASSAGE_SELECTION,0.7,0.5896610761033653,0.6069182389937108,0.631374939533667,0.6175143371420236,0.5293746589785512,0.47197738090685615,0.3830294035875452
V1_PASSAGE_SELECTION,0.8,0.5907847050153351,0.6069182389937108,0.631374939533667,0.6176078168422146,0.5314041134568054,0.472898258145842,0.3833535851746462
V1_PASSAGE_SELECTION,0.9,0.5912544878666088,0.6069182389937108,0.6350642376942233,0.6214226803578811,0.5328596399760654,0.4735313502143602,0.3836956729096385
V1_PASSAGE_SELECTION,1.0,0.5930716303604325,0.6194968553459121,0.6416699717769145,0.6253108728129461,0.5337145969900517,0.47491004060583086,0.3844363303304999
V1_PASSAGE_SELECTION,1.1,0.5933287573132354,0.6257861635220127,0.6457106984503713,0.6278111284748699,0.5351520513857259,0.47589972415592907,0.3848960966136985
V1_PASSAGE_SELECTION,1.2,0.5964285058593513,0.6257861635220127,0.6489793128406125,0.6295430145274176,0.5359207040971391,0.4765872820205762,0.3852387423204127
V1_PASSAGE_SELECTION,1.3,0.5966795272403097,0.6257861635220127,0.6489793128406125,0.6294495348272265,0.5351246552146137,0.47712552141547987,0.38546677054209005
V1_PASSAGE_SELECTION,1.4,0.5963946319751083,0.6257861635220127,0.6489793128406125,0.630270518343274,0.5350236812134884,0.47663893303140437,0.3856533480532622
V1_PASSAGE_SELECTION,1.5,0.5979922952727106,0.6257861635220127,0.6497521750790337,0.6308290864199749,0.5358778831405758,0.47700497523667257,0.3859531992483258
V1_PASSAGE_SELECTION,1.6,0.6014019533018069,0.6257861635220127,0.6485268837868516,0.6307329753190141,0.5361790476776809,0.4775348108190474,0.386101820485285
V1_PASSAGE_SELECTION,1.7,0.6039117215138389,0.6257861635220127,0.6518647534345072,0.6356737281011752,0.5360533887220438,0.4778665802800824,0.38652326390117003
V1_PASSAGE_SELECTION,1.8,0.6064031376506425,0.6257861635220127,0.6564171252131951,0.6377936051909716,0.5363691815478402,0.47825397057765545,0.3867424450005621
V1_PASSAGE_SELECTION,1.9,0.607646066138931,0.6257861635220127,0.6564171252131951,0.6446282440023228,0.5363960564080943,0.4779571210660122,0.3869159086350289
V1_PASSAGE_SELECTION,2.0,0.6094079004879533,0.6320754716981133,0.6575064133582069,0.647891068990223,0.5369738819818958,0.4784492405022788,0.38728794576215725
V1_PASSAGE_SELECTION,2.1,0.6092034492303581,0.6320754716981133,0.6575064133582069,0.6470658798234786,0.5367093965997005,0.47859227450484443,0.38745495550949816
