anchor_seed,fold,n_train,n_test,best_alpha,ndcg1,ndcg3,ndcg5,ndcg10,ndcg30,ndcg50,ndcg100
42,0,42,11,2.8469387755102042,0.6060606060606061,0.6687562497985529,0.6817189995952201,0.6364370776584841,0.5514683203852694,0.5127849213778556,0.4373996611690044
42,1,42,11,3.0,0.712121212121212,0.6574974008438353,0.6438354280497373,0.5791843475871782,0.47507755338384233,0.44028668624409,0.37764327480860566
42,2,42,11,2.489795918367347,0.6060606060606061,0.5302329247330454,0.5084693694673166,0.4534360300921742,0.43003640848453945,0.4299660203806871,0.39199132080624965
42,3,43,10,2.8469387755102042,0.55,0.6292477827565857,0.5924118982356471,0.5484257903165746,0.4587795695669451,0.40036800672944317,0.3160470410651004
42,4,43,10,2.7448979591836737,0.6499999999999999,0.5625986290405022,0.5185879956456818,0.5002835445520143,0.39327959274186963,0.3536241154962514,0.2960749921501705
43,0,42,11,2.7448979591836737,0.6060606060606061,0.6950694834082612,0.6732162180117812,0.6285909190801212,0.5532894494299897,0.5123835447638106,0.44048584241238
43,1,42,11,2.7448979591836737,0.712121212121212,0.6862722201763937,0.6654288479008547,0.6043820483753655,0.47906292117372595,0.44657569410866527,0.3825780677163546
43,2,42,11,2.8469387755102042,0.6363636363636365,0.5980193746367085,0.5841310004408587,0.5087003469760847,0.4820131565142953,0.45901719076643954,0.413659732182575
43,3,43,10,2.7448979591836737,0.5833333333333333,0.6250327852990648,0.575795174371786,0.551672184633158,0.47179327223728845,0.41176248937462107,0.3184504839675835
43,4,43,10,2.693877551020408,0.6166666666666667,0.6205910502843069,0.5430080091782397,0.4686956804991663,0.40290479414227287,0.35348676646614996,0.2984396355338902
44,0,42,11,3.0,0.6060606060606061,0.6520704831999328,0.6333540607586927,0.5994438957430526,0.5449991317802693,0.49684355182794754,0.43133645268324405
44,1,42,11,2.7448979591836737,0.712121212121212,0.6835078148688954,0.6654316645629683,0.5870350248204469,0.48945581997776255,0.445370985061911,0.38254550278893124
44,2,42,11,3.0,0.6060606060606061,0.5908425987596411,0.5458208412890715,0.49236074429783866,0.4510795811256626,0.43903566826482426,0.4018642774943087
44,3,43,10,3.0,0.5833333333333333,0.5984289197592234,0.616080873553487,0.5608552205496211,0.4707058202602399,0.41436800232507587,0.3202514714561168
44,4,43,10,3.0,0.6333333333333333,0.5981511564490773,0.5590519554541197,0.5153576445175023,0.4104470540479307,0.35758994957485635,0.3032275446154096
45,0,42,11,2.9489795918367347,0.6666666666666667,0.6862573135135225,0.6551637025452894,0.6007747456200874,0.5409260205862992,0.5022046257933821,0.43246473151279313
45,1,42,11,1.8265306122448979,0.7424242424242425,0.6788282520266878,0.6505142340543382,0.615881322236998,0.4977637166128538,0.4643324848817345,0.3880242682689836
45,2,42,11,2.9489795918367347,0.6060606060606061,0.5705756795719684,0.521947133571352,0.5281073278497618,0.4795820372210731,0.44646241055883173,0.4091468669699631
45,3,43,10,2.9489795918367347,0.5833333333333333,0.6156532434876434,0.6052847594534279,0.5645478769722443,0.46877097920726307,0.4076177543808203,0.31876016906700355
45,4,43,10,2.9489795918367347,0.6166666666666667,0.55783503966783,0.4965160276919556,0.4631447593958278,0.3856699752738416,0.3434950713407946,0.2918585929110646
46,0,42,11,2.9489795918367347,0.606060606060606,0.6275671608426986,0.6384307168640414,0.5748296942526021,0.5134516135422403,0.48498394463426014,0.41405488536932233
46,1,42,11,2.795918367346939,0.6515151515151515,0.6468984674018589,0.6109032128459098,0.5591875292900688,0.4514913709291083,0.42700251745496637,0.3592036774084138
46,2,42,11,2.7448979591836737,0.5151515151515151,0.5645970436638196,0.509126604358761,0.4779262535738917,0.47532075397639223,0.45515542717301327,0.3985999635634547
46,3,43,10,2.795918367346939,0.55,0.6440507626834542,0.6431064492242577,0.5821017875773931,0.48233049646330295,0.41529960344593286,0.3236124396477535
46,4,43,10,2.9489795918367347,0.6333333333333333,0.5784123623846863,0.5075097454405857,0.4479230722655808,0.3907056352793163,0.3477688310418738,0.29151044970656126
