study,n_valid_users,n_unique_queries,n_screens,screens_per_user_mean,screens_per_user_min,screens_per_user_max,cells_per_screen,cell_opportunities,n_open_doc_events,n_passage_selection_events,n_unique_clicked_cells,n_unique_selected_cells,click_rate_raw_events_pct,click_rate_unique_pct,selection_rate_raw_events_pct,selection_rate_unique_pct
Study 1,54,54,1443,26.72222222222222,26,28,9,12987,7879,7088,7586,6948,60.66836066836067,58.41225841225841,54.57765457765458,53.4996534996535
Study 2,54,54,1441,26.685185185185187,25,28,9,12969,8848,7872,8569,7732,68.22422700285296,66.07294317217982,60.69858894286375,59.61909168016038
