qid,n_sbr,n_random_pool,sbr_qrel_mean,rand_qrel_mean,sbr_colbert_pct_mean,rand_colbert_pct_mean,sbr_simcse_to_top4_mean,rand_simcse_to_top4_mean
508292,4,81,1.0,0.4074074074074074,79.54545454545453,40.404040404040394,0.9095947258174419,0.8353955574609615
540006,4,81,1.25,0.18518518518518517,87.62626262626262,40.404040404040394,0.8019717248777548,0.7103575826795013
596569,4,81,1.0,0.0,92.42424242424241,40.404040404040394,0.8202362135052681,0.6695204300828922
629937,4,81,1.5,0.2222222222222222,90.65656565656565,40.404040404040394,0.8081896714866161,0.7304699729990076
646091,4,81,1.75,0.5925925925925926,88.88888888888889,40.404040404040394,0.8959869034588337,0.7659204146008433
647362,4,81,0.5,0.037037037037037035,79.79797979797979,40.404040404040394,0.7757431492209435,0.6255063304194698
661905,4,81,0.25,0.0,86.11111111111113,40.404040404040394,0.8445018976926804,0.7570108546886916
681645,4,81,1.25,0.3333333333333333,89.64646464646464,40.404040404040394,0.8157168626785278,0.7675732381549882
688007,4,81,1.0,0.4074074074074074,88.13131313131314,40.404040404040394,0.8143691495060921,0.7128998790810137
707882,4,81,2.25,0.08641975308641975,94.1919191919192,40.404040404040394,0.8001861125230789,0.640384709853449
764738,4,81,2.25,0.9382716049382716,90.9090909090909,40.404040404040394,0.8455102033913136,0.777414643102222
806694,4,81,1.25,0.2716049382716049,82.07070707070707,40.404040404040394,0.8319205977022648,0.7268291956480638
818583,4,81,1.25,0.08641975308641975,93.18181818181819,40.404040404040394,0.8953025862574577,0.7401833697969531
832573,4,81,2.0,0.7901234567901234,89.3939393939394,40.404040404040394,0.813849076628685,0.7882326550689744
835760,4,81,2.25,0.9382716049382716,93.93939393939394,40.404040404040394,0.9104617945849895,0.7389891908308606
845121,4,81,0.25,0.1111111111111111,92.67676767676767,40.404040404040394,0.888335358351469,0.8030860238237145
935353,4,81,1.25,0.1728395061728395,87.87878787878788,40.404040404040394,0.8649025410413742,0.7382392278056086
935964,4,81,2.25,0.25925925925925924,89.14141414141415,40.404040404040394,0.8690097257494926,0.7660002767303844
952262,4,81,3.0,0.6172839506172839,86.61616161616162,40.404040404040394,0.8942701071500778,0.8264922286257331
