group,n,passage_length_words_mean,passage_length_words_sd,query_jaccard_mean,query_jaccard_sd,colbert_percentile_mean,colbert_percentile_sd,simcse_to_top4_mean,simcse_to_top4_sd,ner_density_per100w_mean,ner_density_per100w_sd
A: ASR-Max (n=13),13,54.46153846153846,16.82565196664201,0.133123167140749,0.045887445492116784,92.92929292929294,3.058232680906558,0.8159844416838425,0.02268468552335637,5.69915941106645,6.087687833070302
B: All SBR (n=212),212,51.014150943396224,12.073031625926241,0.13256586854301258,0.05872670089240078,92.31942062130742,2.986678327444099,0.8247622072977839,0.05381080436254411,7.245599159296033,7.1739139750712475
C: ColBERT top-4 (n=212),212,50.72641509433962,13.643416216068818,0.15064887305250854,0.08972403842229076,98.08461978273299,1.6800598052111797,0.8356292978772577,0.06690865942560899,7.347744906793858,6.418664282196636
D: Broader pool (n=5300),5300,50.83358490566038,13.565823132180133,0.12870374392764494,0.061749137471593066,50.0,29.160397623533996,,,7.58233546027754,6.991004382180851
