cutoff,mean,sd,min,max
1,0.6245283018867926,0.019962981444155852,0.5911949685534592,0.6446540880503147
3,0.6234223941887842,0.014186150182882324,0.6101852159830312,0.645834155023938
5,0.5948526085281887,0.01195654009554774,0.5820609022906466,0.6101616710450698
10,0.5469400980935342,0.011019890491576463,0.5288986197492815,0.5560249757821895
30,0.471392710560601,0.007530182621598576,0.46307540995996793,0.47933965022818376
50,0.4326047860678295,0.00439888111144424,0.42772160616533406,0.4386836468761468
100,0.3677483470864414,0.00536575730624654,0.3592768430810613,0.37307285397054984
